,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
53,Black Beauty,2020,TV-PG,27 Nov 2020,110 min,"Drama, Family",Ashley Avis,"Ashley Avis, Anna Sewell","Kate Winslet, Mackenzie Foy, Iain Glen","Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures.",English,"United States, United Kingdom, South Africa, Germany, France",N/A,https://m.media-amazon.com/images/M/MV5BNDdiNDU1MzgtMDAzOS00YjY5LWI0ODEtM2MxZmVmNjBkYjA3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.4,"3,161",tt8484160,movie,27 Nov 2020,N/A,N/A,N/A,True,
54,My Psychedelic Love Story,2020,TV-14,22 Oct 2020,102 min,Documentary,Errol Morris,Joanna Harcourt-Smith (based on the book: Tripping the Bardo with Timothy Leary: My Psychedelic Love Story by),"Timothy Leary, Joanna Harcourt-Smith","An examination of the high priest of LSD Timothy Leary through the eyes of famed lover Joanna Harcourt-Smith. Was Leary's ""perfect love"" a CIA plant or was she simply a rich, beautiful young woman out for the adventure of a lifetime?",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYzFkNDY0NjgtZDZlOS00NTY5LWEwNzMtNWQzMWE2NzFiNGU3XkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.1,301,tt12860964,movie,29 Nov 2020,N/A,N/A,N/A,True,
55,Zappa,2020,Not Rated,27 Nov 2020,129 min,"Documentary, Biography, Music",Alex Winter,Alex Winter,"Frank Zappa, Lonnie Lardner, Patrice Zappa",An in-depth look into the life and work of musician Frank Zappa.,English,"United States, United Kingdom",5 nominations,https://m.media-amazon.com/images/M/MV5BZjkyYTlhYTQtZjkzMC00ZTk2LTgyZDktYWNjMmYxN2FiNTlmXkEyXkFqcGdeQXVyNDk5ODAzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.6,"2,561",tt4881578,movie,27 Nov 2020,"$15,502",N/A,N/A,True,
56,Superintelligence,2020,PG,26 Nov 2020,106 min,"Comedy, Romance, Sci-Fi",Ben Falcone,Steve Mallory,"Melissa McCarthy, James Corden, Bobby Cannavale","Nothing extraordinary ever happens to Carol Peters, so when she starts getting snarky backtalk from her TV, phone and microwave, she thinks she's being punk'd. Or losing her mind. In fact, the world's first super-intelligence has selected her for observation, taking over her life with a bigger, more ominous plan to take over everything. Now Carol is humanity's last chance before this artificial intelligence-with-an-attitude decides to pull the plug.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BM2MwYjBiYzctODFjNi00ZDRiLWE2NGMtODFhMDg1NGVjZDQ3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.4,"8,993",tt7178640,movie,26 Nov 2020,N/A,N/A,N/A,True,
57,Stardust,2020,Unrated,25 Nov 2020,109 min,"Biography, Drama, Music",Gabriel Range,"Christopher Bell, Gabriel Range","Johnny Flynn, Marc Maron, Jena Malone",Stardust will chronicle the young David Bowie's first visit to the US in 1971 - a trip that inspired the invention of his iconic alter ego Ziggy Stardust.,English,United Kingdom,1 nomination,https://m.media-amazon.com/images/M/MV5BNWI1YTNmYWMtNzY2NS00MGM1LTg1MjYtMzg5M2Q5ZmE4NDA2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,4.2,"1,524",tt9694312,movie,25 Nov 2020,"$9,087",N/A,N/A,True,
58,Mosul,2019,TV-MA,26 Nov 2020,101 min,"Action, Drama, War",Matthew Michael Carnahan,Matthew Michael Carnahan,"Waleed Elgadi, Hayat Kamille, Thaer Al-Shayei","Between 2014 and 2017, ISIS occupied the Iraqi city of Mosul. During those years, the only group to fight the occupiers continuously was Nineveh province's SWAT unit, made up of local men who had either been injured or had a family member killed by ISIS. Carnahan's Mosul is a gripping tribute to these fighters for whom the incentives were intensely personal. Kawa (Adam Bessa), a 21-year-old police officer, barely survives a firefight. When the smoke clears he meets the men who saved his life, the Nineveh SWAT, led by Jasem (Suhail Dabbach). Kawa's own uncle was recently killed by ISIS. He joins the group, though they've been reduced to just a dozen men with three Humvees and a surplus of cigarettes. Before his first day with Nineveh SWAT is over, Kawa will witness the rescue of a child and the death of several colleagues, take revenge on a man who betrayed him, and participate in the ambush of an ISIS stronghold. Carnahan drops us right in the center of urban warfare, but also allows for telling moments that reveal the men beyond their combat roles. A rare American film designed to bring Iraqi perspectives forward, Mosul is both muscular and humane.","Arabic, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMjUwN2UzOGYtNjI4Mi00MGM0LTllNDYtNDQ3ZGQ4OTQ2OWE1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.2,"24,712",tt9252468,movie,14 May 2019,N/A,N/A,N/A,True,
59,Happiest Season,2020,PG-13,25 Nov 2020,102 min,"Comedy, Crime, Drama",Clea DuVall,"Clea DuVall, Mary Holland","Kristen Stewart, Mackenzie Davis, Mary Steenburgen","Meeting your girlfriend's family for the first time can be tough. Planning to propose at her family's annual Christmas dinner - until you realize that they don't even know she's gay - is even harder. When Abby (Kristen Stewart) learns that Harper (Mackenzie Davis) has kept their relationship a secret from her family, she begins to question the girlfriend she thought she knew.",English,"United States, Canada",3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BZDgyZDNiZGEtYmQ4NC00NzU5LTllODQtNjIwMGY2NDYyNGQwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.6,"31,713",tt8522006,movie,25 Nov 2020,N/A,N/A,N/A,True,
60,Overseas,2019,Not Rated,25 Nov 2020,90 min,Documentary,Sung-a Yoon,Sung-a Yoon,"Wela Mae C. Bunda, Mary Beth C. Campo, Hilda D. Coronel","In The Philippines, women get deployed abroad to work as domestic workers or nannies. To do so, they frequently leave their own children behind, before embracing this big unknown. In a learning center dedicated to the domestic work, several candidates prepare themselves for homesickness and for the abuses that they will possibly endure. In role playing exercises, they play the worker's role as well as the one of the employer. The documentary Overseas brings to light the question of domestic slavery in our globalized world, while emphasizing those women's determination, their sisterhood, and the strategies they find to face the obstacles that awaits them in the near future.","Filipino, English","Belgium, France",9 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BMGQ1YjRmOGUtM2JmMC00MGNiLThiMmQtMGIyNGRiNjE0YjQ3XkEyXkFqcGdeQXVyOTQ2MjU1MTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.4,403,tt10530720,movie,25 Nov 2020,N/A,N/A,N/A,True,
61,The Croods: A New Age,2020,PG,25 Nov 2020,95 min,"Animation, Adventure, Comedy",Joel Crawford,"Kevin Hageman, Dan Hageman, Paul Fisher","Nicolas Cage, Emma Stone, Ryan Reynolds","Still searching for a place to settle down after the cataclysmic events of The Croods (2013), the overprotective prehistoric patriarch, Grug, leads his family to the great unknown. Hoping for the best in an increasingly dangerous world, while trying to come to terms with Eep and Guy's budding romance, Grug stumbles upon a secluded Eden of plenty, containing everything that they have been seeking. However, there is a catch. This verdant heaven on Earth is already occupied by the significantly more evolved Bettermans: Phil, Hope, and their daughter, Dawn. Now, as tensions boil over between the antagonistic clans, a new menace threatens the future of both families. Can the Croods and the Bettermans put aside their differences to fight the common enemy, and live to tell the tale?",English,United States,30 nominations,https://m.media-amazon.com/images/M/MV5BNGU1NGNiYzYtMTQ2Ni00M2ZlLTg0N2QtMDFhMzNjNzcyMGYyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,7.0,"34,916",tt2850386,movie,17 Dec 2020,"$58,568,815",N/A,N/A,True,
62,Uncle Frank,2020,R,25 Nov 2020,95 min,"Comedy, Drama",Alan Ball,Alan Ball,"Paul Bettany, Sophia Lillis, Peter Macdissi","In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina, for the family patriarch's funeral, they're unexpectedly joined by Frank's lover, Walid.","English, Arabic",United States,Nominated for 1 Primetime Emmy. 8 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BYWRkMzE5MDAtMTNjNS00ZmRhLWEyZTYtMTQyMGQ4NmFjNTU0XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.3,"18,350",tt11327514,movie,25 Nov 2020,N/A,N/A,N/A,True,
63,Hillbilly Elegy,2020,R,24 Nov 2020,116 min,Drama,Ron Howard,"J.D. Vance, Vanessa Taylor","Amy Adams, Glenn Close, Gabriel Basso","Based on the bestselling memoir by J.D. Vance, HILLBILLY ELEGY is a modern exploration of the American Dream and three generations of an Appalachian family as told by its youngest member, a Yale Law student forced to return to his hometown.",English,United States,Nominated for 2 Oscars. 5 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BZGI4NzRkNDgtYzQyOS00YWVjLTllYzctNmQ5NzkzOGIxMDBhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.7,"39,117",tt6772802,movie,24 Nov 2020,N/A,N/A,N/A,True,
64,Christmas on the Square,2020,TV-PG,22 Nov 2020,98 min,"Comedy, Family, Musical",Debbie Allen,"Dolly Parton, Maria S. Schlatter","Dolly Parton, Jenifer Lewis, Josh Segarra","An embittered scrooge of a woman plans to sell her small town, regardless of the consequences to the people who live there. However, a kindhearted angel arrives and shows her what would happen before she mends her ways and redeems herself.",English,United States,Won 2 Primetime Emmys. 2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BYTkxZDY2NjMtMDE2MC00ZDVjLWI4ZGYtYWIxYzM0OGIwMDRkXkEyXkFqcGdeQXVyMTI0Njk2Nzk0._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,5.2,"2,381",tt10627548,movie,N/A,N/A,N/A,N/A,True,
65,Shawn Mendes: In Wonder,2020,TV-MA,23 Nov 2020,83 min,"Documentary, Music",Grant Singer,N/A,"Shawn Mendes, Camila Cabello, Evan A. Dunn","A portrait of singer/songwriter Shawn Mendes' life, chronicling the past few years of his rise and journey.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDRkMGM5YTQtOGMzZS00ZGJiLTg5YWMtYjg4NTcyZTk0MzAzXkEyXkFqcGdeQXVyMTI0OTAwOTgy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.6,"1,927",tt13276386,movie,23 Nov 2020,N/A,N/A,N/A,True,
66,Belushi,2020,TV-MA,22 Nov 2020,108 min,"Documentary, Biography",R.J. Cutler,R.J. Cutler,"John Belushi, Tom Schiller, Harold Ramis","Using previously unheard audiotapes recorded shortly after John Belushi's death, director R.J. Cutler's documentary examines the too-short life of once-in-a-generation talent who captured the hearts and funny bones of devoted audiences.",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BZDljNGUzMmUtNWQwYS00Yzc3LTg4OTktNTgwY2EzODAyYjk1XkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.2,"1,980",tt5752346,movie,23 Nov 2020,N/A,N/A,N/A,True,
67,The Real Right Stuff,2020,TV-14,20 Nov 2020,90 min,Documentary,Tom Jennings,N/A,"Tom Brokaw, Scott Carpenter, Gordon Cooper",Follow the story of the first American astronauts in space in this National Geographic documentary.,English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNzg3NjFkOTUtNjJhOS00NzI3LWJlYTYtNjgwYmQwODFlY2FiXkEyXkFqcGdeQXVyODQ4MjU1MDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,470,tt13237174,movie,N/A,N/A,N/A,N/A,True,
68,Mangrove,2011,N/A,10 Aug 2011,70 min,Drama,"Frédéric Choffat, Julie Gilbert",Julie Gilbert,"Lucia, Patrick Pasquier, Vimala Pons",A young woman returns with her son to an isolated beach on the pacific coast in southern Mexico to find peace with her ghosts.,"French, Spanish","Switzerland, France",3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNzgxMzJjZTMtMzE0My00ZmE2LWI2YzctMDZlMGJjYjYxZGI4XkEyXkFqcGdeQXVyMzM0NTAyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,36,tt1826747,movie,N/A,N/A,N/A,N/A,True,
69,Belle Collective,2020–,N/A,29 Dec 2020,N/A,Reality-TV,N/A,N/A,N/A,"I'm not a reality show fan, but I did watch this because I live in the area. I enjoy your they present the city and highlight some of its good qualities. As for the show itself, it's your typical reality. If you love this genre of TV then you will love this show. The women get your attention. The conflicts they find themselves in are a bit shallow and childish, but that's ""reality"" TV for you. I hope that the show succeeds since it is located in an area that rarely gets TV time. I will continue to support it for the greater good, but I do think that reality TV fans would be happy with this.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYmIyZGU2NjktZTYyYy00NTQxLWI4NmYtNGVkNjVkYjNiYWNmXkEyXkFqcGdeQXVyMTMxMTY0MjIy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,44,tt13606226,series,,,,,True,1
70,Sound of Metal,2019,R,04 Dec 2020,120 min,"Drama, Music",Darius Marder,"Darius Marder, Abraham Marder, Derek Cianfrance","Riz Ahmed, Olivia Cooke, Paul Raci","Keeping at bay his inner demons by devoting himself to art, metal drummer, Ruben, has been living for the moment for the past four years. Then, while on tour with his lead-singer/girlfriend, Lou, Ruben realises that his hearing is rapidly deteriorating. As this sudden hearing loss turns his world upside down, and numbing fear paired with angry denial take over, Ruben reluctantly accepts to join a small deaf community overseen by Joe, a compassionate Vietnam War veteran. Now, Ruben needs to find some solid ground, understand that being deaf is not a handicap and that deafness isn't something to fix. But, is Ruben willing to accept his new life and learn how to be deaf?","English, American Sign , French",United States,Won 2 Oscars. 83 wins & 163 nominations total,https://m.media-amazon.com/images/M/MV5BNjcyYjg0M2ItMzMyZS00NmM1LTlhZDMtN2MxN2RhNWY4YTkwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.8,"108,956",tt5363618,movie,N/A,N/A,Caviar,N/A,True,
71,The Princess Switch: Switched Again,2020,TV-G,19 Nov 2020,96 min,"Comedy, Drama, Family",Mike Rohl,"Robin Bernheim, Megan Metzger","John Jack, Vanessa Hudgens, Sam Palladio","When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it's up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMDYxYTEyNmUtYWY5ZS00ODc0LWJkNTItZDU4YTQ1N2VjZDg1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}]",N/A,5.4,"8,941",tt11199410,movie,19 Nov 2020,N/A,N/A,N/A,True,
72,Ralph Parr: Fighter Ace of the Twentieth Century,2020,N/A,01 Feb 2020,15 min,"Documentary, Short",Alexander Zane Irwin,Daniel L. Bernardi,N/A,"Ralph Parr: Fighter Ace of the Twentieth Century is the story of Korean War, WWII, Vietnam War Fighter Pilot. This film features interviews from Ralph Parr's author, Ken Murray; his step-daughter Linda Capps; and his step-son Paul McLaughlin.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGIyMGVmNDMtNWZiMS00ODhjLWJjMWEtNGU1ZDE5ODQxNTkxXkEyXkFqcGdeQXVyODI4MzU5NDM@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11585368,movie,N/A,N/A,N/A,N/A,True,
73,Embattled,2020,R,20 Nov 2020,117 min,"Action, Drama, Sport",Nick Sarkisov,"David McKenna, Frank Ragen","Elizabeth Reaser, Stephen Dorff, Donald Faison","The young MMA fighter enters his first fight, seeking to repeat the path of his famous father - the champion in this sport. But the vicious circle of cruelty that the father supported turned out to be a point of no return for his son and a desire to find his own way.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BOGFlYzEyZjUtZmM4Zi00ZGJjLWFjYTUtN2FhNDcwMDVkOTlmXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.5,"2,294",tt6539992,movie,20 Nov 2020,"$32,259",N/A,N/A,True,
74,Team Marco,2019,N/A,N/A,92 min,"Comedy, Drama, Family",Julio Vincent Gambuto,"Julio Vincent Gambuto, B.R. Uzun","Louis Cancelmi, Owen Vaccaro, Thomas Kopache","Marco, 12, is obsessed with his iPad and hardly leaves the house. But when his grandmother dies and his grandfather moves in, Marco's life is turned upside-down and he's forced...to go play outside. ""Nonno"" (Grandpa) introduces him to bocce ball and to the neighborhood crew of old Italian men who play daily at the local court. With sport, laughter and love, Marco finds connection to other people and rounds up a team of neighborhood kids to take on Marco's grandfather and his pals.","English, Italian",United States,2 wins,https://m.media-amazon.com/images/M/MV5BYjdjYzMwNGQtNDE0MC00YjJlLTllNmYtNTViM2JhMTE3ODgxXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,230,tt8589210,movie,N/A,N/A,N/A,N/A,True,
75,Soros,2019,N/A,31 Aug 2019,85 min,Documentary,Jesse Dylan,Peter Kurie (story editor),"Kofi Annan, George Soros",Soros follows one of the most influential and controversial figures of our time as he fights against the rising tide of authoritarianism around the world.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjNlZDQ5NGEtNWQyZS00MmU3LTlhMjctZDI2Yjc4MTJhOTg4XkEyXkFqcGdeQXVyMTI0Nzk5NTQ2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,136,tt12913884,movie,N/A,N/A,N/A,N/A,True,
76,Vanguard,2020,PG-13,20 Nov 2020,107 min,"Action, Adventure, Comedy",Stanley Tong,"Stanley Tong, Tiffany Alycia Tong","Jackie Chan, Yang Yang, Lun Ai",Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,"Mandarin, English",China,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYjQ3ZjA1N2EtMWVhZS00NTA0LThkZDgtOTZmNGFiZTYyMzc3XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,4.7,"4,807",tt9695722,movie,02 Mar 2021,"$793,525",N/A,N/A,True,
77,The Last Vermeer,2019,R,20 Nov 2020,118 min,Drama,Dan Friedkin,"John Orloff, Mark Fergus, Hawk Ostby","Guy Pearce, Claes Bang, Vicky Krieps","Claes Bang (THE SQUARE) stars as Joseph Piller in this captivating dramatic thriller set just after WWII - an all but forgotten true story - about a soldier investigating renowned Dutch artist Han van Meegeren, played by Guy Pearce (LA CONFIDENTIAL), who is accused of conspiring with the Nazis. Despite mounting evidence, Piller becomes increasingly convinced of Han's innocence and finds himself in the unlikely position of fighting to save the life of the colorful man with a mysterious past. The film also features Vicky Krieps (PHANTOM THREAD).",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMWE1NzcyOGYtMmY4Zi00NTA3LWE0OGQtM2RlNGI4Y2JlZTAyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.7,"2,731",tt8337320,movie,29 Jan 2021,"$685,380",N/A,N/A,True,
78,Run,2020,PG-13,20 Nov 2020,90 min,"Mystery, Thriller",Aneesh Chaganty,"Aneesh Chaganty, Sev Ohanian","Sarah Paulson, Kiera Allen, Sara Sohn","Chloe, a teenager who is confined to a wheelchair, is home schooled by her mother, However, her mother's strange behavior doesn't go unnoticed and when Chloe pries into some private papers, she discovers a Change of Name Certificate document with her mother's name, Diane Sherman, on it. When Chloe googles ""Diane Sherman,"" the internet suddenly disconnnects. Chloe becomes suspicious of all that her mother does, suspecting her of something sinister. She decides to go on the run in her wheelchair in a desperate attempt to get away from her.",English,"United States, Canada",3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZjdmZDlkMzItNTg0OS00MjAxLWE0ZTQtZjdhOWM1MTJkOTc0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.7,"62,342",tt8633478,movie,20 Nov 2020,N/A,N/A,N/A,True,
79,Born to be an Influencer,2020,N/A,15 May 2020,N/A,Documentary,"Diana Hommes, Janne Schmidt","Diana Hommes, Janne Schmidt","Quenisha Awasri, Senna Bellod, Lizet Greve",N/A,Dutch,Netherlands,N/A,https://m.media-amazon.com/images/M/MV5BNmRkODUyOGUtMDMwYy00ZmEzLTllNTAtZmQ4ODYyYmZiZmNmXkEyXkFqcGdeQXVyMzk5NzUwNzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,9,tt12308738,movie,N/A,N/A,N/A,N/A,True,
80,Cemetery,2020,N/A,N/A,N/A,Horror,Michael P. Nash,N/A,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt10607336,movie,N/A,N/A,N/A,N/A,True,
81,"Crazy, Not Insane",2020,TV-MA,18 Nov 2020,119 min,"Documentary, Biography, Crime",Alex Gibney,Alex Gibney,"Richard Burr, Laura Dern, Park Dietz",An examination of the research by forensic psychiatrist Dorothy Otnow Lewis who investigated the psychology of murderers.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzk4NjE3ODAtYWE5Yi00ZDYwLTgyYjQtNGNiOTg1NTdhYjczXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,6.9,"1,740",tt11668320,movie,18 Nov 2020,N/A,N/A,N/A,True,
82,Ainu Mosir,2020,N/A,17 Nov 2020,84 min,Drama,Takeshi Fukunaga,Takeshi Fukunaga,"Kanto Shimokura, Debo Akibe, Emi Shimokura","A coming of age tale about Kanto, a 14 year old boy, and a descendant of Japan's indigenous Ainu people, who struggles to come to terms with the recent loss of his father. One day, he learns about the small hole in the cliff in nearby forest that Ainu people considered a path to the other side of the world - where dead people live. Kanto decides to visit the hole, hoping to see his deceased father.","Japanese, English, Aboriginal","Japan, United States, China",2 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BOWJlMWQxNzEtODcxOC00M2Y5LWFmOWItMmE2ODkwMTc4ZTNiXkEyXkFqcGdeQXVyMjEzMjQ0NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,210,tt9140354,movie,N/A,N/A,N/A,N/A,True,
83,69: The Saga of Danny Hernandez,2020,TV-MA,16 Nov 2020,102 min,"Documentary, Music",Vikram Gandhi,Vikram Gandhi,6ix9ine,"Part investigative documentary, part real-life gangster movie, '69: The Saga of Danny Hernandez' unpacks the life of polarizing rap sensation and internet troll Tekashi69.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTIxYTE3NDUtNWNhZC00OWUyLThhYTktMDAzNzBmZTI3MTM1XkEyXkFqcGdeQXVyMTI4Mjk3MTkz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,5.3,424,tt13473640,movie,16 Nov 2020,N/A,N/A,N/A,True,
