,display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link,multimedia
135,"Introducing, Selma Blair",,0,Teo Bugbee,"‘Introducing, Selma Blair’ Review: An Actress in Her Second Act",A window into the actress’s battle with multiple sclerosis.,2021-10-14,2021-10-21,2021-10-14 17:36:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/14/movies/introducing-selma-blair-review-an-actress-in-her-second-act.html', 'suggested_link_text': 'Read the New York Times Review of Introducing, Selma Blair'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/14/arts/14introducing-selma/14introducing-selma-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
136,Halloween Kills,R,0,Jeannette Catsoulis,‘Halloween Kills’ Review: There Will Be (Copious Amounts of) Blood,"The newest installment of the “Halloween” franchise, starring Jamie Lee Curtis, is a murderous mess that substitutes corpses for characters.",2021-10-14,2021-10-15,2021-10-14 17:14:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/14/movies/halloween-kills-review.html', 'suggested_link_text': 'Read the New York Times Review of Halloween Kills'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/14/arts/14halloween-kills-art/14halloween-kills-art-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
137,Hard Luck Love Song,R,0,Glenn Kenny,‘Hard Luck Love Song’ Review: A Glossy Take on a Gritty Tune,"Drawn from the plotline of a Todd Snider song, the film follows a pool shark and an escort, taking twists that are both violent and silly.",2021-10-14,2021-10-15,2021-10-14 12:28:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/14/movies/hard-luck-love-song-review.html', 'suggested_link_text': 'Read the New York Times Review of Hard Luck Love Song'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/14/arts/14hard-luck-review/merlin_195864411_fa0620b9-3070-4301-be89-7ebf7a4b1d26-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
138,All About My Sisters,,0,Devika Girish,‘All About My Sisters’ Review: Family Matters,Wang Qiong’s debut feature traces the tragic effects of China’s one-child policy on her family.,2021-10-14,2021-10-15,2021-10-14 13:43:30,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/14/movies/all-about-my-sisters-review.html', 'suggested_link_text': 'Read the New York Times Review of All About My Sisters'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/14/arts/14allabout-art/14allabout-art-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
139,Needle in a Timestack,R,0,Elisabeth Vincentelli,‘Needle in a Timestack’ Review: Put a Pin in It,"The director John Ridley, who wrote “12 Years a Slave,” tries to combine time travel and romance, and comes up short twice.",2021-10-14,2021-10-15,2021-10-14 11:02:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/14/movies/needle-in-a-timestack-review.html', 'suggested_link_text': 'Read the New York Times Review of Needle in a Timestack'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/14/arts/14NEEDLE-IN-A-TIMESTACK-REVIEW/merlin_195899766_be07cdb0-7ef9-4c41-aa84-97046b7a42ca-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
140,The Trip,,0,Lena Wilson,"‘The Trip’ Review: With This Gun, I Thee Shoot","In this Norwegian thriller on Netflix, a murderous couple get more bloodshed than they bargained for.",2021-10-14,2021-10-15,2021-10-14 11:01:06,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/14/movies/the-trip-review.html', 'suggested_link_text': 'Read the New York Times Review of The Trip'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/08/arts/trip1/trip1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
141,Held for Ransom,,0,Beatrice Loayza,‘Held for Ransom’ Review: Negotiating With Terrorists,"This thoughtful hostage drama from Denmark depicts the events surrounding the capturing of Daniel Rye, a photojournalist, by ISIS in 2013.",2021-10-14,2021-10-15,2021-10-14 11:03:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/14/movies/held-for-ransom-review.html', 'suggested_link_text': 'Read the New York Times Review of Held for Ransom'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/14/arts/14held-for-ransom/14held-for-ransom-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
142,,,0,Natalia Winkelman,‘Luzzu’ Review: Capturing Culture on the Coasts of Malta,This subtle drama follows a young Maltese fisherman torn between fidelity to his trade and the demands of a modern world.,2021-10-14,,0001-01-01 00:00:00,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/14/movies/luzzu-review.html', 'suggested_link_text': 'Read the New York Times Review of '}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/14/arts/14luzzu-art/14luzzu-art-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
143,The Last Duel,R,1,Manohla Dargis,‘The Last Duel’ Review: A Medieval Epic in the Age of #MeToo,"Ridley Scott and his all-star cast rip the moldy fig leaf off chivalric romance in a he-said, he-said, she-said spectacle.",2021-10-13,2021-10-15,2021-10-13 22:08:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/13/movies/the-last-duel-review.html', 'suggested_link_text': 'Read the New York Times Review of The Last Duel'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/15/arts/the-last-duel/merlin_195863007_7c11c26e-c2db-4794-9f84-c07d46decc2e-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
144,Son of Monarchs,R,1,Isabelia Herrera,‘Son of Monarchs’ Review: Of Butterflies and Belonging,This lush Mexican drama tells a story about climate change and cultural identity using the allegory of monarch butterflies’ migration.,2021-10-13,2021-11-02,2021-10-13 17:53:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/13/movies/son-of-monarchs-review.html', 'suggested_link_text': 'Read the New York Times Review of Son of Monarchs'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/14/arts/14son-of-monarchs1/14son-of-monarchs1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
145,Fever Dream,R,1,Nicolas Rapold,‘Fever Dream’ Review: Touching From a Distance,"Claudia Llosa’s adaptation of Samanta Schweblin’s novel casts a spell, evoking more than it explains.",2021-10-13,2021-10-13,2021-10-13 11:01:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/13/movies/fever-dream-review.html', 'suggested_link_text': 'Read the New York Times Review of Fever Dream'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/14/arts/14fever-dream-review/14fever-dream-review-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
146,Convergence: Courage in a Crisis,R,0,Devika Girish,‘Convergence: Courage in a Crisis’ Review: Tracing a Pandemic’s Arc,"This Netflix documentary, filmed in different countries throughout 2020, is grueling to watch.",2021-10-12,2021-10-12,2021-10-13 14:41:41,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/12/movies/convergence-courage-in-a-crisis-review.html', 'suggested_link_text': 'Read the New York Times Review of Convergence: Courage in a Crisis'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/14/arts/14convergence-review2/14convergence-review2-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
147,Lamb,R,1,Jeannette Catsoulis,"‘Lamb’ Review: Oh No, Not My Baby!",A strange birth on an Icelandic farm bodes ill for a grieving couple in this eerie debut feature.,2021-10-07,2021-10-08,2021-10-07 21:42:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/lamb-review.html', 'suggested_link_text': 'Read the New York Times Review of Lamb'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/06/arts/lamb1/lamb1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
148,Jacinta,,1,Beatrice Loayza,‘Jacinta’ Review: A Neverending Cycle of Hurt,This haunting documentary by Jessica Earnshaw traces the journey of a young woman struggling with addiction after her release from prison.,2021-10-07,2021-10-08,2021-10-07 11:02:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/jacinta-review.html', 'suggested_link_text': 'Read the New York Times Review of Jacinta'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/08/arts/jacinta1/jacinta1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
149,Suzanna Andler,,0,Teo Bugbee,‘Suzanna Andler’ Review: French Riviera Blues,"This film takes place in a single afternoon, as Suzanna, played by Charlotte Gainsbourg, contemplates her bourgeois marriage.",2021-10-07,2021-10-08,2021-10-07 18:23:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/suzanna-andler-review.html', 'suggested_link_text': 'Read the New York Times Review of Suzanna Andler'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/07/arts/07Suzanna-Andler-Review/07Suzanna-Andler-Review-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
150,South of Heaven,,0,Amy Nicholson,‘South of Heaven’ Review: Anything for Love,Jason Sudeikis plays a paroled felon who vows to give his dying lover the best year of her life.,2021-10-07,2021-10-08,2021-10-07 17:18:07,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/south-of-heaven-review.html', 'suggested_link_text': 'Read the New York Times Review of South of Heaven'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/08/arts/south1/south1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
151,The Rescue,PG,0,Jessica Kiang,‘The Rescue’ Review: Going All In on a Risky Mission,Elizabeth Chai Vasarhelyi and Jimmy Chin’s documentary recounts the 2018 Thailand cave rescue.,2021-10-07,2021-10-08,2021-10-08 13:35:06,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/the-rescue-review.html', 'suggested_link_text': 'Read the New York Times Review of The Rescue'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/07/arts/rescue1/rescue1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
152,Mass,PG-13,0,Teo Bugbee,‘Mass’ Review: Stages of Grief,"Years after a school shooting, two couples meet to discuss their children — the one whose life was taken, and the one who took his life.",2021-10-07,2021-10-08,2021-10-07 15:16:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/mass-review-stages-of-grief.html', 'suggested_link_text': 'Read the New York Times Review of Mass'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/07/arts/07mass-review/07mass-review-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
153,,,0,Lisa Kennedy,‘Prism’ Review: Taking a Clear View of Bias in Moviemaking,"In this documentary, three filmmakers put together their own segments that ponder their profession’s culpability.",2021-10-07,,0001-01-01 00:00:00,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/prism-review.html', 'suggested_link_text': 'Read the New York Times Review of '}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/07/arts/07prism/07prism-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
154,Madres,,0,Lena Wilson,‘Madres’ and ‘The Manor’ Review: Maligned Women Uncover the Truth,Two horror films about marginalized women uncovering conspiracies join Amazon’s “Welcome to the Blumhouse” anthology series.,2021-10-07,2021-10-08,2021-10-07 11:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/madres-the-manor-review.html', 'suggested_link_text': 'Read the New York Times Review of Madres'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/08/arts/madres1/madres1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
155,The Manor,,0,Lena Wilson,‘Madres’ and ‘The Manor’ Review: Maligned Women Uncover the Truth,Two horror films about marginalized women uncovering conspiracies join Amazon’s “Welcome to the Blumhouse” anthology series.,2021-10-07,2021-10-08,2021-10-07 11:03:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/madres-the-manor-review.html', 'suggested_link_text': 'Read the New York Times Review of The Manor'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/08/arts/madres1/madres1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
156,Knocking,,0,Nicolas Rapold,‘Knocking’ Review: Domestic Disturbances,A character’s suspicions about a mysterious tapping noise turn into a thriller about the horrors of isolation.,2021-10-07,,2021-10-07 11:01:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/knocking-review.html', 'suggested_link_text': 'Read the New York Times Review of Knocking'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/07/arts/07KNOCKING/07KNOCKING-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
157,Golden Voices,,0,Glenn Kenny,"‘Golden Voices’ Review: In Tel Aviv, With an Unappreciated Talent",Two voice actors from Russia struggle for a fresh start.,2021-10-07,2021-10-08,2021-10-07 11:06:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/golden-voices-review.html', 'suggested_link_text': 'Read the New York Times Review of Golden Voices'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/08/arts/07golden-voices/07golden-voices-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
158,,,0,Chris Azzopardi,‘Justin Bieber: Our World’ Review: A Pop Star Enshrouded,Alternating like clockwork between live numbers and soft insight dulls this documentary’s rhythm.,2021-10-07,,0001-01-01 00:00:00,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/justin-bieber-our-world-review.html', 'suggested_link_text': 'Read the New York Times Review of '}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/06/arts/bieber1/bieber1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
159,Ascension,,0,Beatrice Loayza,‘Ascension’ Review: A Symphony of Productivity,"The contemporary Chinese economy is examined in this unconvincing, if hypnotizing documentary by Jessica Kingdon.",2021-10-07,2021-10-08,2021-10-07 11:05:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/07/movies/ascension-review.html', 'suggested_link_text': 'Read the New York Times Review of Ascension'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/06/arts/ascencion1/ascencion1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
160,V/H/S/94,,1,Calum Marsh,‘V/H/S/94’ Review: The Right Snuff,"This lo-fi horror omnibus is a grisly, gory gem.",2021-10-06,2021-10-06,2021-10-06 11:01:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/06/movies/v-h-s-94-review.html', 'suggested_link_text': 'Read the New York Times Review of V/H/S/94'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/05/arts/vhs1/vhs1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
161,There's Someone Inside Your House,TV-MA,0,Jeannette Catsoulis,‘There’s Someone Inside Your House’ Review: Problematic Secrets Exposed,This horror movie from Netflix is a muddled marriage of progressive politics and retrograde style.,2021-10-06,2021-10-06,2021-10-06 18:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/06/movies/theres-someone-inside-your-house-review.html', 'suggested_link_text': ""Read the New York Times Review of There's Someone Inside Your House""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/08/arts/someone1/someone1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
162,Distancing Socially,R,0,Natalia Winkelman,‘Distancing Socially’ Review: Scenes from a Quarantine,Little happens in this comedy that follows Hollywood players lonely in lockdown.,2021-10-05,2021-01-01,2021-10-06 13:53:54,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/05/movies/distancing-socially-review.html', 'suggested_link_text': 'Read the New York Times Review of Distancing Socially'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/05/arts/distancing1/distancing1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
163,Pharma Bro,,0,Ben Kenigsberg,‘Pharma Bro’ Review: Behind the Smirk,This documentary grasps at straws trying to prove that the former pharmaceutical executive Martin Shkreli might not be as loathsome as his reputation suggests.,2021-10-05,2021-10-05,2021-10-05 11:01:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/05/movies/pharma-bro-review.html', 'suggested_link_text': 'Read the New York Times Review of Pharma Bro'}",
164,Britney vs Spears,TV-MA,0,Lisa Kennedy,‘Britney vs Spears’ Review: When the Intervention Is the Problem,"A Netflix documentary directed by Erin Lee Carr offers a timely if vexing primer on the pop star’s legal battle, which may finally be coming to an end.",2021-10-01,2021-09-28,2021-10-01 17:04:54,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/10/01/movies/britney-vs-spears-review.html', 'suggested_link_text': 'Read the New York Times Review of Britney vs Spears'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/02/arts/29britney-docs1/merlin_195493614_2ab59ea9-0761-41ea-8bec-341fee198d44-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
165,Karen Dalton: In My Own Time,,1,Glenn Kenny,‘Karen Dalton: In My Own Time’ Review: An Elemental Musical Force,A documentary chronicles the turbulent life of a singer whose music made a substantial impression on New York’s 1960s folk scene and still resonates today.,2021-09-30,,2021-09-30 15:41:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/karen-dalton-in-my-own-time-review.html', 'suggested_link_text': 'Read the New York Times Review of Karen Dalton: In My Own Time'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/09/30/arts/30dalton1/30dalton1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
166,The Guilty,R,1,Jeannette Catsoulis,‘The Guilty’ Review: Dial R for Redemption,Jake Gyllenhaal plays an imploding 911 operator in this riveting remake.,2021-09-30,2021-10-01,2021-09-30 11:11:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/the-guilty-review.html', 'suggested_link_text': 'Read the New York Times Review of The Guilty'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/01/arts/guilty1/guilty1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
167,Venom: Let There Be Carnage,PG-13,0,Amy Nicholson,‘Venom: Let There Be Carnage’ Review: The One-Man Odd Couple Returns,"Starring Tom Hardy, this superhero sequel turns into a slapstick blood bath about two threesomes both in desperate need of throuples therapy.",2021-09-30,2021-10-01,2021-09-30 13:01:06,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/venom-let-there-be-carnage-review.html', 'suggested_link_text': 'Read the New York Times Review of Venom: Let There Be Carnage'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/01/arts/venom1/venom1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
168,Titane,R,0,A.O. Scott,‘Titane’ Review: Auto Erotic,"Julia Ducournau’s new film, a prizewinner at Cannes, is a grisly, philosophical thriller that puts the pedal to the metal.",2021-09-30,2021-10-01,2021-09-30 11:01:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/titane-review.html', 'suggested_link_text': 'Read the New York Times Review of Titane'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/01/arts/titane/titane-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
169,Bingo Hell,,0,Jeannette Catsoulis,‘Black as Night’ and ‘Bingo Hell’ Review: Marginalized Heroes,"Two horror comedies that champion the downtrodden are part of the anthology series “Welcome to the Blumhouse,” streaming on Amazon.",2021-09-30,2021-10-01,2021-09-30 11:06:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/black-as-night-bingo-hell-review.html', 'suggested_link_text': 'Read the New York Times Review of Bingo Hell'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/01/arts/blumhouse1/merlin_195206067_95b33b36-a132-49c6-9125-9476d1b36c74-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
170,Black as Night,,0,Jeannette Catsoulis,‘Black as Night’ and ‘Bingo Hell’ Review: Marginalized Heroes,"Two horror comedies that champion the downtrodden are part of the anthology series “Welcome to the Blumhouse,” streaming on Amazon.",2021-09-30,2021-10-01,2021-09-30 11:05:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/black-as-night-bingo-hell-review.html', 'suggested_link_text': 'Read the New York Times Review of Black as Night'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/01/arts/blumhouse1/merlin_195206067_95b33b36-a132-49c6-9125-9476d1b36c74-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
171,Coming Home in the Dark,,0,Glenn Kenny,‘Coming Home in the Dark’ Review: No Picnic,"A family outing attracts mysterious, menacing uninvited guests in this grinding New Zealand thriller.",2021-09-30,2021-10-01,2021-09-30 11:09:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/coming-home-in-the-dark-review.html', 'suggested_link_text': 'Read the New York Times Review of Coming Home in the Dark'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/09/29/arts/coming1/coming1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
172,Falling for Figaro,,0,Beatrice Loayza,‘Falling for Figaro’ Review: When the Overtures Are Operatic,An American finance executive leaves behind her cushy life in favor of a musical career in this humdrum romance set in the Scottish Highlands.,2021-09-30,2021-10-01,2021-09-30 11:10:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/falling-for-figaro-review.html', 'suggested_link_text': 'Read the New York Times Review of Falling for Figaro'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/09/30/arts/30falling-pix/30falling-pix-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
173,Mayday,,0,Teo Bugbee,‘Mayday’ Review: Misandry Is the Most Dangerous Game,"A group of female insurgents hunt down weary men in this halfhearted, half-feminist fantasy from Karen Cinorre.",2021-09-30,2021-10-01,2021-09-30 11:03:06,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/mayday-review.html', 'suggested_link_text': 'Read the New York Times Review of Mayday'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/09/30/arts/30mayday-art/30mayday-art-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
174,Enormous: The Gorge Story,,0,Glenn Kenny,‘Enormous: The Gorge Story’ Review: A Musical Paradise,"A loving documentary about a Pacific Northwest amphitheater, created by a long-ago natural catastrophe, that is a haven for concertgoers.",2021-09-30,2021-07-21,2021-09-30 11:08:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/review-enormous-the-gorge-story.html', 'suggested_link_text': 'Read the New York Times Review of Enormous: The Gorge Story'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/03/arts/03enormous-pix/03enormous-pix-mediumThreeByTwo440-v2.jpg', 'height': 140, 'width': 210}"
175,The Addams Family 2,PG,0,Lena Wilson,‘The Addams Family 2’ Review: Wednesday Goes West,"America’s creepiest family takes a road trip in this animated sequel, though their antics are far more kooky than spooky.",2021-09-30,2021-10-01,2021-09-30 11:02:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/the-addams-family-2-review.html', 'suggested_link_text': 'Read the New York Times Review of The Addams Family 2'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/10/01/arts/30addams-art/30addams-art-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
176,Stop and Go,,0,Beatrice Loayza,"‘Stop and Go’ Review: Pandemic Aside, Girls Just Want to Have Fun",This trite Covid-19-era comedy follows a pair of kooky sisters on a cross-country mission to save their grandmother from a nursing home overrun with cases.,2021-09-30,2021-10-01,2021-09-30 11:07:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/stop-and-go-review.html', 'suggested_link_text': 'Read the New York Times Review of Stop and Go'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/09/29/arts/stop1/stop1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
177,Old Henry,,0,Ben Kenigsberg,‘Old Henry’ Review: Can’t Keep Him Down on the Farm,"Starring Tim Blake Nelson, the film tips its hat to classic westerns, even if it gets caught in their shadows.",2021-09-30,2021-10-01,2021-09-30 11:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/30/movies/old-henry-review.html', 'suggested_link_text': 'Read the New York Times Review of Old Henry'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/09/29/arts/oldhenry1/oldhenry1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
178,The Many Saints of Newark,R,0,Manohla Dargis,‘The Many Saints of Newark’ Review: The Best Really Is Over,"In the movie prequel to “The Sopranos,” Tony returns as a child who learns to navigate his families on a difficult road to mob power.",2021-09-29,2021-10-01,2021-09-29 22:21:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/29/movies/the-many-saints-of-newark-review.html', 'suggested_link_text': 'Read the New York Times Review of The Many Saints of Newark'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/09/30/arts/30many-saints-review/30many-saints-review-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
179,No Time to Die,PG-13,0,A.O. Scott,‘No Time to Die’ Review: His Word Is His Bond,The 25th episode in the venerable franchise — and Daniel Craig’s last as 007 — finds its hero in a somber mood.,2021-09-29,2021-10-08,2021-09-29 16:43:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/29/movies/no-time-to-die-review.html', 'suggested_link_text': 'Read the New York Times Review of No Time to Die'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/09/28/arts/no-time1/no-time1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
180,No One Gets Out Alive,R,0,Ben Kenigsberg,"‘No One Gets Out Alive’ Review: Seeking Shelter, Finding Terror","In this horror movie on Netflix, an immigrant in Cleveland moves into a sinister boardinghouse.",2021-09-29,2021-09-29,2021-09-29 11:01:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/29/movies/no-one-gets-out-alive-review.html', 'suggested_link_text': 'Read the New York Times Review of No One Gets Out Alive'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/09/27/arts/noone1/noone1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
181,I'm Your Man,R,1,Jeannette Catsoulis,‘I’m Your Man’ Review: Living Doll,"Dan Stevens plays a dreamy, pleasure-driven android in this delightful near-future romance.",2021-09-23,2021-09-24,2021-09-23 11:03:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/09/23/movies/im-your-man-review.html', 'suggested_link_text': ""Read the New York Times Review of I'm Your Man""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/09/21/arts/imyourman1/imyourman1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
